"";"link";"url";"num";"year";"...5";"L1"
"25";"
 № 1";"contents.asp?id=47907927";"Номер: 1";"Год: 2022";"Дата размещения:07.02.2022";"Автоматика и телемеханика"
"26";"
 № 2";"contents.asp?id=47937587";"Номер: 2";"Год: 2022";"Дата размещения:10.02.2022";"Автоматика и телемеханика"
"27";"
 № 3";"contents.asp?id=48056293";"Номер: 3";"Год: 2022";"Дата размещения:10.03.2022";"Автоматика и телемеханика"
"28";"
 № 4";"contents.asp?id=48359084";"Номер: 4";"Год: 2022";"Дата размещения:02.05.2022";"Автоматика и телемеханика"
"29";"
 № 5";"contents.asp?id=48359536";"Номер: 5";"Год: 2022";"Дата размещения:02.05.2022";"Автоматика и телемеханика"
"30";"
 № 6";"contents.asp?id=48437588";"Номер: 6";"Год: 2022";"Дата размещения:14.05.2022";"Автоматика и телемеханика"
"31";"
 № 7";"contents.asp?id=48592407";"Номер: 7";"Год: 2022";"Дата размещения:08.06.2022";"Автоматика и телемеханика"
"32";"
 № 8";"contents.asp?id=49202292";"Номер: 8";"Год: 2022";"Дата размещения:25.07.2022";"Автоматика и телемеханика"
"33";"
 № 9";"contents.asp?id=49337945";"Номер: 9";"Год: 2022";"Дата размещения:28.08.2022";"Автоматика и телемеханика"
"34";"
 № 10";"contents.asp?id=49491951";"Номер: 10";"Год: 2022";"Дата размещения:05.10.2022";"Автоматика и телемеханика"
"35";"
 № 11";"contents.asp?id=49611703";"Номер: 11";"Год: 2022";"Дата размещения:02.11.2022";"Автоматика и телемеханика"
"36";"
 № 12";"contents.asp?id=49830851";"Номер: 12";"Год: 2022";"Дата размещения:30.11.2022";"Автоматика и телемеханика"
"37";"
 № 1";"contents.asp?id=44667618";"Номер: 1";"Год: 2021";"Дата размещения:10.02.2021";"Автоматика и телемеханика"
"38";"
 № 2";"contents.asp?id=44771495";"Номер: 2";"Год: 2021";"Дата размещения:02.03.2021";"Автоматика и телемеханика"
"39";"
 № 3";"contents.asp?id=44805733";"Номер: 3";"Год: 2021";"Дата размещения:10.03.2021";"Автоматика и телемеханика"
"40";"
 № 4";"contents.asp?id=45134700";"Номер: 4";"Год: 2021";"Дата размещения:08.04.2021";"Автоматика и телемеханика"
"41";"
 № 5";"contents.asp?id=45738671";"Номер: 5";"Год: 2021";"Дата размещения:21.05.2021";"Автоматика и телемеханика"
"42";"
 № 6";"contents.asp?id=45829223";"Номер: 6";"Год: 2021";"Дата размещения:03.06.2021";"Автоматика и телемеханика"
"43";"
 № 7";"contents.asp?id=46245229";"Номер: 7";"Год: 2021";"Дата размещения:06.07.2021";"Автоматика и телемеханика"
"44";"
 № 8";"contents.asp?id=46409234";"Номер: 8";"Год: 2021";"Дата размещения:12.08.2021";"Автоматика и телемеханика"
"45";"
 № 9";"contents.asp?id=46490194";"Номер: 9";"Год: 2021";"Дата размещения:02.09.2021";"Автоматика и телемеханика"
"46";"
 № 10";"contents.asp?id=46621868";"Номер: 10";"Год: 2021";"Дата размещения:05.10.2021";"Автоматика и телемеханика"
"47";"
 № 11";"contents.asp?id=47153355";"Номер: 11";"Год: 2021";"Дата размещения:10.11.2021";"Автоматика и телемеханика"
"48";"
 № 12";"contents.asp?id=47247309";"Номер: 12";"Год: 2021";"Дата размещения:30.11.2021";"Автоматика и телемеханика"
"49";"
 № 1";"contents.asp?id=41857028";"Номер: 1";"Год: 2020";"Дата размещения:29.01.2020";"Автоматика и телемеханика"
"50";"
 № 2";"contents.asp?id=42346723";"Номер: 2";"Год: 2020";"Дата размещения:12.02.2020";"Автоматика и телемеханика"
"51";"
 № 3";"contents.asp?id=42491014";"Номер: 3";"Год: 2020";"Дата размещения:12.03.2020";"Автоматика и телемеханика"
"52";"
 № 4";"contents.asp?id=42767684";"Номер: 4";"Год: 2020";"Дата размещения:04.05.2020";"Автоматика и телемеханика"
"53";"
 № 5";"contents.asp?id=42854729";"Номер: 5";"Год: 2020";"Дата размещения:23.05.2020";"Автоматика и телемеханика"
"54";"
 № 6";"contents.asp?id=42964254";"Номер: 6";"Год: 2020";"Дата размещения:16.06.2020";"Автоматика и телемеханика"
"55";"
 № 7";"contents.asp?id=43152760";"Номер: 7";"Год: 2020";"Дата размещения:24.07.2020";"Автоматика и телемеханика"
"56";"
 № 8";"contents.asp?id=43779855";"Номер: 8";"Год: 2020";"Дата размещения:11.08.2020";"Автоматика и телемеханика"
"57";"
 № 9";"contents.asp?id=43918437";"Номер: 9";"Год: 2020";"Дата размещения:14.09.2020";"Автоматика и телемеханика"
"58";"
 № 10";"contents.asp?id=44013703";"Номер: 10";"Год: 2020";"Дата размещения:06.10.2020";"Автоматика и телемеханика"
"59";"
 № 11";"contents.asp?id=44125918";"Номер: 11";"Год: 2020";"Дата размещения:30.10.2020";"Автоматика и телемеханика"
"60";"
 № 12";"contents.asp?id=44263248";"Номер: 12";"Год: 2020";"Дата размещения:27.11.2020";"Автоматика и телемеханика"
"61";"
 № 1";"contents.asp?id=67861598";"Номер: 1";"Год: 2024";"Дата размещения:22.06.2024";"Агрохимия"
"62";"
 № 2";"contents.asp?id=67862634";"Номер: 2";"Год: 2024";"Дата размещения:22.06.2024";"Агрохимия"
"63";"
 № 3";"contents.asp?id=67910969";"Номер: 3";"Год: 2024";"Дата размещения:01.07.2024";"Агрохимия"
"64";"
 № 4";"contents.asp?id=67907756";"Номер: 4";"Год: 2024";"Дата размещения:30.06.2024";"Агрохимия"
"65";"
 № 5";"contents.asp?id=68519416";"Номер: 5";"Год: 2024";"Дата размещения:01.08.2024";"Агрохимия"
"66";"
 № 6";"contents.asp?id=68549262";"Номер: 6";"Год: 2024";"Дата размещения:08.08.2024";"Агрохимия"
"67";"
 № 7";"contents.asp?id=68627864";"Номер: 7";"Год: 2024";"Дата размещения:27.08.2024";"Агрохимия"
"68";"
 № 8";"contents.asp?id=69024790";"Номер: 8";"Год: 2024";"Дата размещения:03.09.2024";"Агрохимия"
"69";"
 № 9";"contents.asp?id=74498041";"Номер: 9";"Год: 2024";"Дата размещения:07.11.2024";"Агрохимия"
"70";"
 № 10";"contents.asp?id=74526731";"Номер: 10";"Год: 2024";"Дата размещения:14.11.2024";"Агрохимия"
"71";"
 № 11";"contents.asp?id=75081779";"Номер: 11";"Год: 2024";"Дата размещения:28.11.2024";"Агрохимия"
"72";"
 № 1";"contents.asp?id=50434864";"Номер: 1";"Год: 2023";"Дата размещения:30.03.2023";"Агрохимия"
"73";"
 № 2";"contents.asp?id=50434268";"Номер: 2";"Год: 2023";"Дата размещения:30.03.2023";"Агрохимия"
"74";"
 № 3";"contents.asp?id=50450634";"Номер: 3";"Год: 2023";"Дата размещения:03.04.2023";"Агрохимия"
"75";"
 № 4";"contents.asp?id=50501795";"Номер: 4";"Год: 2023";"Дата размещения:13.04.2023";"Агрохимия"
"76";"
 № 5";"contents.asp?id=53738539";"Номер: 5";"Год: 2023";"Дата размещения:17.05.2023";"Агрохимия"
"77";"
 № 6";"contents.asp?id=53985696";"Номер: 6";"Год: 2023";"Дата размещения:20.06.2023";"Агрохимия"
"78";"
 № 7";"contents.asp?id=54045180";"Номер: 7";"Год: 2023";"Дата размещения:27.06.2023";"Агрохимия"
"79";"
 № 8";"contents.asp?id=54270527";"Номер: 8";"Год: 2023";"Дата размещения:09.08.2023";"Агрохимия"
"80";"
 № 9";"contents.asp?id=54403150";"Номер: 9";"Год: 2023";"Дата размещения:13.09.2023";"Агрохимия"
"81";"
 № 10";"contents.asp?id=54717428";"Номер: 10";"Год: 2023";"Дата размещения:25.10.2023";"Агрохимия"
"82";"
 № 11";"contents.asp?id=54803343";"Номер: 11";"Год: 2023";"Дата размещения:14.11.2023";"Агрохимия"
"83";"
 № 12";"contents.asp?id=55849236";"Номер: 12";"Год: 2023";"Дата размещения:19.12.2023";"Агрохимия"
"84";"
 № 1";"contents.asp?id=47695530";"Номер: 1";"Год: 2022";"Дата размещения:26.01.2022";"Агрохимия"
"85";"
 № 2";"contents.asp?id=47957399";"Номер: 2";"Год: 2022";"Дата размещения:15.02.2022";"Агрохимия"
"86";"
 № 3";"contents.asp?id=48076053";"Номер: 3";"Год: 2022";"Дата размещения:15.03.2022";"Агрохимия"
"87";"
 № 4";"contents.asp?id=48503988";"Номер: 4";"Год: 2022";"Дата размещения:25.05.2022";"Агрохимия"
"88";"
 № 5";"contents.asp?id=48506007";"Номер: 5";"Год: 2022";"Дата размещения:26.05.2022";"Агрохимия"
"89";"
 № 6";"contents.asp?id=48620844";"Номер: 6";"Год: 2022";"Дата размещения:14.06.2022";"Агрохимия"
"90";"
 № 7";"contents.asp?id=49273254";"Номер: 7";"Год: 2022";"Дата размещения:10.08.2022";"Агрохимия"
"91";"
 № 8";"contents.asp?id=49273265";"Номер: 8";"Год: 2022";"Дата размещения:10.08.2022";"Агрохимия"
"92";"
 № 9";"contents.asp?id=49419634";"Номер: 9";"Год: 2022";"Дата размещения:19.09.2022";"Агрохимия"
"93";"
 № 10";"contents.asp?id=49581349";"Номер: 10";"Год: 2022";"Дата размещения:26.10.2022";"Агрохимия"
"94";"
 № 11";"contents.asp?id=49745807";"Номер: 11";"Год: 2022";"Дата размещения:16.11.2022";"Агрохимия"
"95";"
 № 12";"contents.asp?id=49856118";"Номер: 12";"Год: 2022";"Дата размещения:06.12.2022";"Агрохимия"
"96";"
 № 1";"contents.asp?id=44651646";"Номер: 1";"Год: 2021";"Дата размещения:08.02.2021";"Агрохимия"
"97";"
 № 2";"contents.asp?id=44732417";"Номер: 2";"Год: 2021";"Дата размещения:24.02.2021";"Агрохимия"
"98";"
 № 3";"contents.asp?id=44829270";"Номер: 3";"Год: 2021";"Дата размещения:16.03.2021";"Агрохимия"
"99";"
 № 4";"contents.asp?id=44829285";"Номер: 4";"Год: 2021";"Дата размещения:16.03.2021";"Агрохимия"
"100";"
 № 5";"contents.asp?id=45604583";"Номер: 5";"Год: 2021";"Дата размещения:21.04.2021";"Агрохимия"
"101";"
 № 6";"contents.asp?id=45799767";"Номер: 6";"Год: 2021";"Дата размещения:01.06.2021";"Агрохимия"
"102";"
 № 7";"contents.asp?id=46153587";"Номер: 7";"Год: 2021";"Дата размещения:17.06.2021";"Агрохимия"
"103";"
 № 8";"contents.asp?id=46350951";"Номер: 8";"Год: 2021";"Дата размещения:28.07.2021";"Агрохимия"
"104";"
 № 9";"contents.asp?id=46506518";"Номер: 9";"Год: 2021";"Дата размещения:07.09.2021";"Агрохимия"
"105";"
 № 10";"contents.asp?id=46621748";"Номер: 10";"Год: 2021";"Дата размещения:05.10.2021";"Агрохимия"
"106";"
 № 11";"contents.asp?id=46650872";"Номер: 11";"Год: 2021";"Дата размещения:12.10.2021";"Агрохимия"
"107";"
 № 12";"contents.asp?id=47326510";"Номер: 12";"Год: 2021";"Дата размещения:14.12.2021";"Агрохимия"
"108";"
 № 1";"contents.asp?id=42339356";"Номер: 1";"Год: 2020";"Дата размещения:11.02.2020";"Агрохимия"
"109";"
 № 2";"contents.asp?id=42339368";"Номер: 2";"Год: 2020";"Дата размещения:11.02.2020";"Агрохимия"
"110";"
 № 3";"contents.asp?id=42445422";"Номер: 3";"Год: 2020";"Дата размещения:03.03.2020";"Агрохимия"
"111";"
 № 4";"contents.asp?id=42608553";"Номер: 4";"Год: 2020";"Дата размещения:31.03.2020";"Агрохимия"
"112";"
 № 5";"contents.asp?id=42650737";"Номер: 5";"Год: 2020";"Дата размещения:10.04.2020";"Агрохимия"
"113";"
 № 6";"contents.asp?id=42890170";"Номер: 6";"Год: 2020";"Дата размещения:01.06.2020";"Агрохимия"
"114";"
 № 7";"contents.asp?id=42963707";"Номер: 7";"Год: 2020";"Дата размещения:16.06.2020";"Агрохимия"
"115";"
 № 8";"contents.asp?id=43159741";"Номер: 8";"Год: 2020";"Дата размещения:27.07.2020";"Агрохимия"
"116";"
 № 9";"contents.asp?id=43823830";"Номер: 9";"Год: 2020";"Дата размещения:25.08.2020";"Агрохимия"
"117";"
 № 10";"contents.asp?id=43961926";"Номер: 10";"Год: 2020";"Дата размещения:25.09.2020";"Агрохимия"
"118";"
 № 11";"contents.asp?id=44137298";"Номер: 11";"Год: 2020";"Дата размещения:02.11.2020";"Агрохимия"
"119";"
 № 12";"contents.asp?id=44296396";"Номер: 12";"Год: 2020";"Дата размещения:04.12.2020";"Агрохимия"
"120";"
 № 1";"contents.asp?id=67861425";"Номер: 1";"Год: 2024";"Дата размещения:22.06.2024";"Азия и Африка сегодня"
"121";"
 № 2";"contents.asp?id=67861545";"Номер: 2";"Год: 2024";"Дата размещения:22.06.2024";"Азия и Африка сегодня"
"122";"
 № 3";"contents.asp?id=67862243";"Номер: 3";"Год: 2024";"Дата размещения:22.06.2024";"Азия и Африка сегодня"
"123";"
 № 4";"contents.asp?id=67862451";"Номер: 4";"Год: 2024";"Дата размещения:22.06.2024";"Азия и Африка сегодня"
"124";"
 № 5";"contents.asp?id=67965692";"Номер: 5";"Год: 2024";"Дата размещения:09.07.2024";"Азия и Африка сегодня"
"125";"
 № 6";"contents.asp?id=67973231";"Номер: 6";"Год: 2024";"Дата размещения:10.07.2024";"Азия и Африка сегодня"
"126";"
 № 7";"contents.asp?id=67994516";"Номер: 7";"Год: 2024";"Дата размещения:13.07.2024";"Азия и Африка сегодня"
"127";"
 № 8";"contents.asp?id=68538441";"Номер: 8";"Год: 2024";"Дата размещения:07.08.2024";"Азия и Африка сегодня"
"128";"
 № 9";"contents.asp?id=70867097";"Номер: 9";"Год: 2024";"Дата размещения:30.09.2024";"Азия и Африка сегодня"
"129";"
 № 10";"contents.asp?id=72707607";"Номер: 10";"Год: 2024";"Дата размещения:14.10.2024";"Азия и Африка сегодня"
"130";"
 № 11";"contents.asp?id=74024984";"Номер: 11";"Год: 2024";"Дата размещения:30.10.2024";"Азия и Африка сегодня"
"131";"
 № 1";"contents.asp?id=50771711";"Номер: 1";"Год: 2023";"Дата размещения:26.04.2023";"Азия и Африка сегодня"
"132";"
 № 2";"contents.asp?id=50772346";"Номер: 2";"Год: 2023";"Дата размещения:26.04.2023";"Азия и Африка сегодня"
"133";"
 № 3";"contents.asp?id=51679196";"Номер: 3";"Год: 2023";"Дата размещения:30.04.2023";"Азия и Африка сегодня"
"134";"
 № 4";"contents.asp?id=53961326";"Номер: 4";"Год: 2023";"Дата размещения:14.06.2023";"Азия и Африка сегодня"
"135";"
 № 5";"contents.asp?id=53983873";"Номер: 5";"Год: 2023";"Дата размещения:19.06.2023";"Азия и Африка сегодня"
"136";"
 № 6";"contents.asp?id=54059302";"Номер: 6";"Год: 2023";"Дата размещения:28.06.2023";"Азия и Африка сегодня"
"137";"
 № 7";"contents.asp?id=54484144";"Номер: 7";"Год: 2023";"Дата размещения:18.09.2023";"Азия и Африка сегодня"
"138";"
 № 8";"contents.asp?id=54484188";"Номер: 8";"Год: 2023";"Дата размещения:18.09.2023";"Азия и Африка сегодня"
"139";"
 № 9";"contents.asp?id=54515405";"Номер: 9";"Год: 2023";"Дата размещения:25.09.2023";"Азия и Африка сегодня"
"140";"
 № 10";"contents.asp?id=54891339";"Номер: 10";"Год: 2023";"Дата размещения:22.11.2023";"Азия и Африка сегодня"
"141";"
 № 11";"contents.asp?id=54895352";"Номер: 11";"Год: 2023";"Дата размещения:23.11.2023";"Азия и Африка сегодня"
"142";"
 № 12";"contents.asp?id=56576960";"Номер: 12";"Год: 2023";"Дата размещения:27.12.2023";"Азия и Африка сегодня"
"143";"
 № 1";"contents.asp?id=48053126";"Номер: 1";"Год: 2022";"Дата размещения:09.03.2022";"Азия и Африка сегодня"
"144";"
 № 2";"contents.asp?id=48074214";"Номер: 2";"Год: 2022";"Дата размещения:15.03.2022";"Азия и Африка сегодня"
"145";"
 № 3";"contents.asp?id=48114770";"Номер: 3";"Год: 2022";"Дата размещения:25.03.2022";"Азия и Африка сегодня"
"146";"
 № 4";"contents.asp?id=48433996";"Номер: 4";"Год: 2022";"Дата размещения:13.05.2022";"Азия и Африка сегодня"
"147";"
 № 5";"contents.asp?id=48551518";"Номер: 5";"Год: 2022";"Дата размещения:01.06.2022";"Азия и Африка сегодня"
"148";"
 № 6";"contents.asp?id=48642923";"Номер: 6";"Год: 2022";"Дата размещения:16.06.2022";"Азия и Африка сегодня"
"149";"
 № 7";"contents.asp?id=49199958";"Номер: 7";"Год: 2022";"Дата размещения:25.07.2022";"Азия и Африка сегодня"
"150";"
 № 8";"contents.asp?id=49341358";"Номер: 8";"Год: 2022";"Дата размещения:29.08.2022";"Азия и Африка сегодня"
"151";"
 № 9";"contents.asp?id=49430059";"Номер: 9";"Год: 2022";"Дата размещения:21.09.2022";"Азия и Африка сегодня"
"152";"
 № 10";"contents.asp?id=49760804";"Номер: 10";"Год: 2022";"Дата размещения:18.11.2022";"Азия и Африка сегодня"
"153";"
 № 11";"contents.asp?id=49900706";"Номер: 11";"Год: 2022";"Дата размещения:13.12.2022";"Азия и Африка сегодня"
"154";"
 № 12";"contents.asp?id=49942310";"Номер: 12";"Год: 2022";"Дата размещения:20.12.2022";"Азия и Африка сегодня"
"155";"
 № 1";"contents.asp?id=44746777";"Номер: 1";"Год: 2021";"Дата размещения:27.02.2021";"Азия и Африка сегодня"
"156";"
 № 2";"contents.asp?id=44835952";"Номер: 2";"Год: 2021";"Дата размещения:17.03.2021";"Азия и Африка сегодня"
"157";"
 № 3";"contents.asp?id=44883401";"Номер: 3";"Год: 2021";"Дата размещения:29.03.2021";"Азия и Африка сегодня"
"158";"
 № 4";"contents.asp?id=45764535";"Номер: 4";"Год: 2021";"Дата размещения:25.05.2021";"Азия и Африка сегодня"
"159";"
 № 5";"contents.asp?id=46110913";"Номер: 5";"Год: 2021";"Дата размещения:09.06.2021";"Азия и Африка сегодня"
"160";"
 № 6";"contents.asp?id=46153898";"Номер: 6";"Год: 2021";"Дата размещения:17.06.2021";"Азия и Африка сегодня"
"161";"
 № 7";"contents.asp?id=46456570";"Номер: 7";"Год: 2021";"Дата размещения:27.08.2021";"Азия и Африка сегодня"
"162";"
 № 8";"contents.asp?id=46456558";"Номер: 8";"Год: 2021";"Дата размещения:27.08.2021";"Азия и Африка сегодня"
"163";"
 № 9";"contents.asp?id=46572127";"Номер: 9";"Год: 2021";"Дата размещения:24.09.2021";"Азия и Африка сегодня"
"164";"
 № 10";"contents.asp?id=47125897";"Номер: 10";"Год: 2021";"Дата размещения:03.11.2021";"Азия и Африка сегодня"
"165";"
 № 11";"contents.asp?id=47249574";"Номер: 11";"Год: 2021";"Дата размещения:30.11.2021";"Азия и Африка сегодня"
"166";"
 № 12";"contents.asp?id=47323756";"Номер: 12";"Год: 2021";"Дата размещения:13.12.2021";"Азия и Африка сегодня"
"167";"
 № 1";"contents.asp?id=42463065";"Номер: 1";"Год: 2020";"Дата размещения:05.03.2020";"Азия и Африка сегодня"
"168";"
 № 2";"contents.asp?id=42592523";"Номер: 2";"Год: 2020";"Дата размещения:27.03.2020";"Азия и Африка сегодня"
"169";"
 № 3";"contents.asp?id=42605481";"Номер: 3";"Год: 2020";"Дата размещения:30.03.2020";"Азия и Африка сегодня"
"170";"
 № 4";"contents.asp?id=42895732";"Номер: 4";"Год: 2020";"Дата размещения:02.06.2020";"Азия и Африка сегодня"
"171";"
 № 5";"contents.asp?id=43001569";"Номер: 5";"Год: 2020";"Дата размещения:23.06.2020";"Азия и Африка сегодня"
"172";"
 № 6";"contents.asp?id=43024864";"Номер: 6";"Год: 2020";"Дата размещения:27.06.2020";"Азия и Африка сегодня"
"173";"
 № 7";"contents.asp?id=43844552";"Номер: 7";"Год: 2020";"Дата размещения:31.08.2020";"Азия и Африка сегодня"
"174";"
 № 8";"contents.asp?id=43918138";"Номер: 8";"Год: 2020";"Дата размещения:14.09.2020";"Азия и Африка сегодня"
"175";"
 № 9";"contents.asp?id=43976582";"Номер: 9";"Год: 2020";"Дата размещения:28.09.2020";"Азия и Африка сегодня"
"176";"
 № 10";"contents.asp?id=44278088";"Номер: 10";"Год: 2020";"Дата размещения:01.12.2020";"Азия и Африка сегодня"
"177";"
 № 11";"contents.asp?id=44277350";"Номер: 11";"Год: 2020";"Дата размещения:01.12.2020";"Азия и Африка сегодня"
"178";"
 № 12";"contents.asp?id=44355554";"Номер: 12";"Год: 2020";"Дата размещения:16.12.2020";"Азия и Африка сегодня"
"179";"
 Т. 70  № 1";"contents.asp?id=67887686";"Номер: 1";"Год: 2024";"Дата размещения:26.06.2024";"Акустический журнал Российской академии наук"
"180";"
 Т. 70  № 2";"contents.asp?id=68549957";"Номер: 2";"Год: 2024";"Дата размещения:08.08.2024";"Акустический журнал Российской академии наук"
"181";"
 Т. 70  № 3";"contents.asp?id=73876097";"Номер: 3";"Год: 2024";"Дата размещения:28.10.2024";"Акустический журнал Российской академии наук"
"182";"
 Т. 70  № 4";"contents.asp?id=75118709";"Номер: 4";"Год: 2024";"Дата размещения:02.12.2024";"Акустический журнал Российской академии наук"
"183";"
 Т. 70  № 5";"contents.asp?id=75117412";"Номер: 5";"Год: 2024";"Дата размещения:02.12.2024";"Акустический журнал Российской академии наук"
"184";"
 Т. 70  № 6";"contents.asp?id=79079548";"Номер: 6";"Год: 2024";"Дата размещения:10.01.2025";"Акустический журнал Российской академии наук"
"185";"
 Т. 69  № 1";"contents.asp?id=50435856";"Номер: 1";"Год: 2023";"Дата размещения:31.03.2023";"Акустический журнал Российской академии наук"
"186";"
 Т. 69  № 2";"contents.asp?id=50435871";"Номер: 2";"Год: 2023";"Дата размещения:31.03.2023";"Акустический журнал Российской академии наук"
"187";"
 Т. 69  № 3";"contents.asp?id=53769977";"Номер: 3";"Год: 2023";"Дата размещения:24.05.2023";"Акустический журнал Российской академии наук"
"188";"
 Т. 69  № 4";"contents.asp?id=54238592";"Номер: 4";"Год: 2023";"Дата размещения:01.08.2023";"Акустический журнал Российской академии наук"
"189";"
 Т. 69  № 5";"contents.asp?id=54493917";"Номер: 5";"Год: 2023";"Дата размещения:20.09.2023";"Акустический журнал Российской академии наук"
"190";"
 Т. 69  № 6";"contents.asp?id=55850052";"Номер: 6";"Год: 2023";"Дата размещения:19.12.2023";"Акустический журнал Российской академии наук"
"191";"
 Т. 68  № 1";"contents.asp?id=47423742";"Номер: 1";"Год: 2022";"Дата размещения:29.12.2021";"Акустический журнал Российской академии наук"
"192";"
 Т. 68  № 2";"contents.asp?id=47958084";"Номер: 2";"Год: 2022";"Дата размещения:15.02.2022";"Акустический журнал Российской академии наук"
"193";"
 Т. 68  № 3";"contents.asp?id=48506082";"Номер: 3";"Год: 2022";"Дата размещения:26.05.2022";"Акустический журнал Российской академии наук"
"194";"
 Т. 68  № 4";"contents.asp?id=48659257";"Номер: 4";"Год: 2022";"Дата размещения:20.06.2022";"Акустический журнал Российской академии наук"
"195";"
 Т. 68  № 5";"contents.asp?id=49273401";"Номер: 5";"Год: 2022";"Дата размещения:10.08.2022";"Акустический журнал Российской академии наук"
"196";"
 Т. 68  № 6";"contents.asp?id=49546577";"Номер: 6";"Год: 2022";"Дата размещения:19.10.2022";"Акустический журнал Российской академии наук"
"197";"
 Т. 67  № 1";"contents.asp?id=44492549";"Номер: 1";"Год: 2021";"Дата размещения:12.01.2021";"Акустический журнал Российской академии наук"
"198";"
 Т. 67  № 2";"contents.asp?id=44811395";"Номер: 2";"Год: 2021";"Дата размещения:11.03.2021";"Акустический журнал Российской академии наук"
"199";"
 Т. 67  № 3";"contents.asp?id=45794959";"Номер: 3";"Год: 2021";"Дата размещения:31.05.2021";"Акустический журнал Российской академии наук"
"200";"
 Т. 67  № 4";"contents.asp?id=46322071";"Номер: 4";"Год: 2021";"Дата размещения:20.07.2021";"Акустический журнал Российской академии наук"
"201";"
 Т. 67  № 5";"contents.asp?id=46464495";"Номер: 5";"Год: 2021";"Дата размещения:30.08.2021";"Акустический журнал Российской академии наук"
"202";"
 Т. 67  № 6";"contents.asp?id=47210380";"Номер: 6";"Год: 2021";"Дата размещения:23.11.2021";"Акустический журнал Российской академии наук"
"203";"
 Т. 66  № 1";"contents.asp?id=41695340";"Номер: 1";"Год: 2020";"Дата размещения:16.01.2020";"Акустический журнал Российской академии наук"
"204";"
 Т. 66  № 2";"contents.asp?id=42366334";"Номер: 2";"Год: 2020";"Дата размещения:17.02.2020";"Акустический журнал Российской академии наук"
"205";"
 Т. 66  № 3";"contents.asp?id=42636160";"Номер: 3";"Год: 2020";"Дата размещения:07.04.2020";"Акустический журнал Российской академии наук"
