"";"link";"url";"num";"year";"...5";"L1"
"43";"
 № 7";"contents.asp?id=46245229";"7";"2021";"06.07.2021";"Автоматика и телемеханика"
"44";"
 № 8";"contents.asp?id=46409234";"8";"2021";"12.08.2021";"Автоматика и телемеханика"
"45";"
 № 9";"contents.asp?id=46490194";"9";"2021";"02.09.2021";"Автоматика и телемеханика"
"46";"
 № 10";"contents.asp?id=46621868";"10";"2021";"05.10.2021";"Автоматика и телемеханика"
"47";"
 № 11";"contents.asp?id=47153355";"11";"2021";"10.11.2021";"Автоматика и телемеханика"
"48";"
 № 12";"contents.asp?id=47247309";"12";"2021";"30.11.2021";"Автоматика и телемеханика"
"49";"
 № 1";"contents.asp?id=41857028";"1";"2020";"29.01.2020";"Автоматика и телемеханика"
"50";"
 № 2";"contents.asp?id=42346723";"2";"2020";"12.02.2020";"Автоматика и телемеханика"
"51";"
 № 3";"contents.asp?id=42491014";"3";"2020";"12.03.2020";"Автоматика и телемеханика"
"52";"
 № 4";"contents.asp?id=42767684";"4";"2020";"04.05.2020";"Автоматика и телемеханика"
"53";"
 № 5";"contents.asp?id=42854729";"5";"2020";"23.05.2020";"Автоматика и телемеханика"
"54";"
 № 6";"contents.asp?id=42964254";"6";"2020";"16.06.2020";"Автоматика и телемеханика"
"55";"
 № 7";"contents.asp?id=43152760";"7";"2020";"24.07.2020";"Автоматика и телемеханика"
"56";"
 № 8";"contents.asp?id=43779855";"8";"2020";"11.08.2020";"Автоматика и телемеханика"
"57";"
 № 9";"contents.asp?id=43918437";"9";"2020";"14.09.2020";"Автоматика и телемеханика"
"58";"
 № 10";"contents.asp?id=44013703";"10";"2020";"06.10.2020";"Автоматика и телемеханика"
"59";"
 № 11";"contents.asp?id=44125918";"11";"2020";"30.10.2020";"Автоматика и телемеханика"
"60";"
 № 12";"contents.asp?id=44263248";"12";"2020";"27.11.2020";"Автоматика и телемеханика"
"61";"
 № 1";"contents.asp?id=67861598";"1";"2024";"22.06.2024";"Агрохимия"
"62";"
 № 2";"contents.asp?id=67862634";"2";"2024";"22.06.2024";"Агрохимия"
"63";"
 № 3";"contents.asp?id=67910969";"3";"2024";"01.07.2024";"Агрохимия"
"64";"
 № 4";"contents.asp?id=67907756";"4";"2024";"30.06.2024";"Агрохимия"
"65";"
 № 5";"contents.asp?id=68519416";"5";"2024";"01.08.2024";"Агрохимия"
"66";"
 № 6";"contents.asp?id=68549262";"6";"2024";"08.08.2024";"Агрохимия"
"67";"
 № 7";"contents.asp?id=68627864";"7";"2024";"27.08.2024";"Агрохимия"
"68";"
 № 8";"contents.asp?id=69024790";"8";"2024";"03.09.2024";"Агрохимия"
"69";"
 № 9";"contents.asp?id=74498041";"9";"2024";"07.11.2024";"Агрохимия"
"70";"
 № 10";"contents.asp?id=74526731";"10";"2024";"14.11.2024";"Агрохимия"
"71";"
 № 11";"contents.asp?id=75081779";"11";"2024";"28.11.2024";"Агрохимия"
"72";"
 № 1";"contents.asp?id=50434864";"1";"2023";"30.03.2023";"Агрохимия"
"73";"
 № 2";"contents.asp?id=50434268";"2";"2023";"30.03.2023";"Агрохимия"
"74";"
 № 3";"contents.asp?id=50450634";"3";"2023";"03.04.2023";"Агрохимия"
"75";"
 № 4";"contents.asp?id=50501795";"4";"2023";"13.04.2023";"Агрохимия"
"76";"
 № 5";"contents.asp?id=53738539";"5";"2023";"17.05.2023";"Агрохимия"
"77";"
 № 6";"contents.asp?id=53985696";"6";"2023";"20.06.2023";"Агрохимия"
"78";"
 № 7";"contents.asp?id=54045180";"7";"2023";"27.06.2023";"Агрохимия"
"79";"
 № 8";"contents.asp?id=54270527";"8";"2023";"09.08.2023";"Агрохимия"
"80";"
 № 9";"contents.asp?id=54403150";"9";"2023";"13.09.2023";"Агрохимия"
"81";"
 № 10";"contents.asp?id=54717428";"10";"2023";"25.10.2023";"Агрохимия"
"82";"
 № 11";"contents.asp?id=54803343";"11";"2023";"14.11.2023";"Агрохимия"
"83";"
 № 12";"contents.asp?id=55849236";"12";"2023";"19.12.2023";"Агрохимия"
"84";"
 № 1";"contents.asp?id=47695530";"1";"2022";"26.01.2022";"Агрохимия"
"85";"
 № 2";"contents.asp?id=47957399";"2";"2022";"15.02.2022";"Агрохимия"
"86";"
 № 3";"contents.asp?id=48076053";"3";"2022";"15.03.2022";"Агрохимия"
"87";"
 № 4";"contents.asp?id=48503988";"4";"2022";"25.05.2022";"Агрохимия"
"88";"
 № 5";"contents.asp?id=48506007";"5";"2022";"26.05.2022";"Агрохимия"
"89";"
 № 6";"contents.asp?id=48620844";"6";"2022";"14.06.2022";"Агрохимия"
"90";"
 № 7";"contents.asp?id=49273254";"7";"2022";"10.08.2022";"Агрохимия"
"91";"
 № 8";"contents.asp?id=49273265";"8";"2022";"10.08.2022";"Агрохимия"
"92";"
 № 9";"contents.asp?id=49419634";"9";"2022";"19.09.2022";"Агрохимия"
"93";"
 № 10";"contents.asp?id=49581349";"10";"2022";"26.10.2022";"Агрохимия"
"94";"
 № 11";"contents.asp?id=49745807";"11";"2022";"16.11.2022";"Агрохимия"
"95";"
 № 12";"contents.asp?id=49856118";"12";"2022";"06.12.2022";"Агрохимия"
"96";"
 № 1";"contents.asp?id=44651646";"1";"2021";"08.02.2021";"Агрохимия"
"97";"
 № 2";"contents.asp?id=44732417";"2";"2021";"24.02.2021";"Агрохимия"
"98";"
 № 3";"contents.asp?id=44829270";"3";"2021";"16.03.2021";"Агрохимия"
"99";"
 № 4";"contents.asp?id=44829285";"4";"2021";"16.03.2021";"Агрохимия"
"100";"
 № 5";"contents.asp?id=45604583";"5";"2021";"21.04.2021";"Агрохимия"
"101";"
 № 6";"contents.asp?id=45799767";"6";"2021";"01.06.2021";"Агрохимия"
"102";"
 № 7";"contents.asp?id=46153587";"7";"2021";"17.06.2021";"Агрохимия"
"103";"
 № 8";"contents.asp?id=46350951";"8";"2021";"28.07.2021";"Агрохимия"
"104";"
 № 9";"contents.asp?id=46506518";"9";"2021";"07.09.2021";"Агрохимия"
"105";"
 № 10";"contents.asp?id=46621748";"10";"2021";"05.10.2021";"Агрохимия"
"106";"
 № 11";"contents.asp?id=46650872";"11";"2021";"12.10.2021";"Агрохимия"
"107";"
 № 12";"contents.asp?id=47326510";"12";"2021";"14.12.2021";"Агрохимия"
"108";"
 № 1";"contents.asp?id=42339356";"1";"2020";"11.02.2020";"Агрохимия"
"109";"
 № 2";"contents.asp?id=42339368";"2";"2020";"11.02.2020";"Агрохимия"
"110";"
 № 3";"contents.asp?id=42445422";"3";"2020";"03.03.2020";"Агрохимия"
"111";"
 № 4";"contents.asp?id=42608553";"4";"2020";"31.03.2020";"Агрохимия"
"112";"
 № 5";"contents.asp?id=42650737";"5";"2020";"10.04.2020";"Агрохимия"
"113";"
 № 6";"contents.asp?id=42890170";"6";"2020";"01.06.2020";"Агрохимия"
"114";"
 № 7";"contents.asp?id=42963707";"7";"2020";"16.06.2020";"Агрохимия"
"115";"
 № 8";"contents.asp?id=43159741";"8";"2020";"27.07.2020";"Агрохимия"
"116";"
 № 9";"contents.asp?id=43823830";"9";"2020";"25.08.2020";"Агрохимия"
"117";"
 № 10";"contents.asp?id=43961926";"10";"2020";"25.09.2020";"Агрохимия"
"118";"
 № 11";"contents.asp?id=44137298";"11";"2020";"02.11.2020";"Агрохимия"
"119";"
 № 12";"contents.asp?id=44296396";"12";"2020";"04.12.2020";"Агрохимия"
"120";"
 № 1";"contents.asp?id=67861425";"1";"2024";"22.06.2024";"Азия и Африка сегодня"
"121";"
 № 2";"contents.asp?id=67861545";"2";"2024";"22.06.2024";"Азия и Африка сегодня"
"122";"
 № 3";"contents.asp?id=67862243";"3";"2024";"22.06.2024";"Азия и Африка сегодня"
"123";"
 № 4";"contents.asp?id=67862451";"4";"2024";"22.06.2024";"Азия и Африка сегодня"
"124";"
 № 5";"contents.asp?id=67965692";"5";"2024";"09.07.2024";"Азия и Африка сегодня"
"125";"
 № 6";"contents.asp?id=67973231";"6";"2024";"10.07.2024";"Азия и Африка сегодня"
"126";"
 № 7";"contents.asp?id=67994516";"7";"2024";"13.07.2024";"Азия и Африка сегодня"
"127";"
 № 8";"contents.asp?id=68538441";"8";"2024";"07.08.2024";"Азия и Африка сегодня"
"128";"
 № 9";"contents.asp?id=70867097";"9";"2024";"30.09.2024";"Азия и Африка сегодня"
"129";"
 № 10";"contents.asp?id=72707607";"10";"2024";"14.10.2024";"Азия и Африка сегодня"
"130";"
 № 11";"contents.asp?id=74024984";"11";"2024";"30.10.2024";"Азия и Африка сегодня"
"131";"
 № 1";"contents.asp?id=50771711";"1";"2023";"26.04.2023";"Азия и Африка сегодня"
"132";"
 № 2";"contents.asp?id=50772346";"2";"2023";"26.04.2023";"Азия и Африка сегодня"
"133";"
 № 3";"contents.asp?id=51679196";"3";"2023";"30.04.2023";"Азия и Африка сегодня"
"134";"
 № 4";"contents.asp?id=53961326";"4";"2023";"14.06.2023";"Азия и Африка сегодня"
"135";"
 № 5";"contents.asp?id=53983873";"5";"2023";"19.06.2023";"Азия и Африка сегодня"
"136";"
 № 6";"contents.asp?id=54059302";"6";"2023";"28.06.2023";"Азия и Африка сегодня"
"137";"
 № 7";"contents.asp?id=54484144";"7";"2023";"18.09.2023";"Азия и Африка сегодня"
"138";"
 № 8";"contents.asp?id=54484188";"8";"2023";"18.09.2023";"Азия и Африка сегодня"
"139";"
 № 9";"contents.asp?id=54515405";"9";"2023";"25.09.2023";"Азия и Африка сегодня"
"140";"
 № 10";"contents.asp?id=54891339";"10";"2023";"22.11.2023";"Азия и Африка сегодня"
"141";"
 № 11";"contents.asp?id=54895352";"11";"2023";"23.11.2023";"Азия и Африка сегодня"
"142";"
 № 12";"contents.asp?id=56576960";"12";"2023";"27.12.2023";"Азия и Африка сегодня"
"143";"
 № 1";"contents.asp?id=48053126";"1";"2022";"09.03.2022";"Азия и Африка сегодня"
"144";"
 № 2";"contents.asp?id=48074214";"2";"2022";"15.03.2022";"Азия и Африка сегодня"
"145";"
 № 3";"contents.asp?id=48114770";"3";"2022";"25.03.2022";"Азия и Африка сегодня"
"146";"
 № 4";"contents.asp?id=48433996";"4";"2022";"13.05.2022";"Азия и Африка сегодня"
"147";"
 № 5";"contents.asp?id=48551518";"5";"2022";"01.06.2022";"Азия и Африка сегодня"
"148";"
 № 6";"contents.asp?id=48642923";"6";"2022";"16.06.2022";"Азия и Африка сегодня"
"149";"
 № 7";"contents.asp?id=49199958";"7";"2022";"25.07.2022";"Азия и Африка сегодня"
"150";"
 № 8";"contents.asp?id=49341358";"8";"2022";"29.08.2022";"Азия и Африка сегодня"
"151";"
 № 9";"contents.asp?id=49430059";"9";"2022";"21.09.2022";"Азия и Африка сегодня"
"152";"
 № 10";"contents.asp?id=49760804";"10";"2022";"18.11.2022";"Азия и Африка сегодня"
"153";"
 № 11";"contents.asp?id=49900706";"11";"2022";"13.12.2022";"Азия и Африка сегодня"
"154";"
 № 12";"contents.asp?id=49942310";"12";"2022";"20.12.2022";"Азия и Африка сегодня"
"155";"
 № 1";"contents.asp?id=44746777";"1";"2021";"27.02.2021";"Азия и Африка сегодня"
"156";"
 № 2";"contents.asp?id=44835952";"2";"2021";"17.03.2021";"Азия и Африка сегодня"
"157";"
 № 3";"contents.asp?id=44883401";"3";"2021";"29.03.2021";"Азия и Африка сегодня"
"158";"
 № 4";"contents.asp?id=45764535";"4";"2021";"25.05.2021";"Азия и Африка сегодня"
"159";"
 № 5";"contents.asp?id=46110913";"5";"2021";"09.06.2021";"Азия и Африка сегодня"
"160";"
 № 6";"contents.asp?id=46153898";"6";"2021";"17.06.2021";"Азия и Африка сегодня"
"161";"
 № 7";"contents.asp?id=46456570";"7";"2021";"27.08.2021";"Азия и Африка сегодня"
"162";"
 № 8";"contents.asp?id=46456558";"8";"2021";"27.08.2021";"Азия и Африка сегодня"
"163";"
 № 9";"contents.asp?id=46572127";"9";"2021";"24.09.2021";"Азия и Африка сегодня"
"164";"
 № 10";"contents.asp?id=47125897";"10";"2021";"03.11.2021";"Азия и Африка сегодня"
"165";"
 № 11";"contents.asp?id=47249574";"11";"2021";"30.11.2021";"Азия и Африка сегодня"
"166";"
 № 12";"contents.asp?id=47323756";"12";"2021";"13.12.2021";"Азия и Африка сегодня"
"167";"
 № 1";"contents.asp?id=42463065";"1";"2020";"05.03.2020";"Азия и Африка сегодня"
"168";"
 № 2";"contents.asp?id=42592523";"2";"2020";"27.03.2020";"Азия и Африка сегодня"
"169";"
 № 3";"contents.asp?id=42605481";"3";"2020";"30.03.2020";"Азия и Африка сегодня"
"170";"
 № 4";"contents.asp?id=42895732";"4";"2020";"02.06.2020";"Азия и Африка сегодня"
"171";"
 № 5";"contents.asp?id=43001569";"5";"2020";"23.06.2020";"Азия и Африка сегодня"
"172";"
 № 6";"contents.asp?id=43024864";"6";"2020";"27.06.2020";"Азия и Африка сегодня"
"173";"
 № 7";"contents.asp?id=43844552";"7";"2020";"31.08.2020";"Азия и Африка сегодня"
"174";"
 № 8";"contents.asp?id=43918138";"8";"2020";"14.09.2020";"Азия и Африка сегодня"
"175";"
 № 9";"contents.asp?id=43976582";"9";"2020";"28.09.2020";"Азия и Африка сегодня"
"176";"
 № 10";"contents.asp?id=44278088";"10";"2020";"01.12.2020";"Азия и Африка сегодня"
"177";"
 № 11";"contents.asp?id=44277350";"11";"2020";"01.12.2020";"Азия и Африка сегодня"
"178";"
 № 12";"contents.asp?id=44355554";"12";"2020";"16.12.2020";"Азия и Африка сегодня"
"179";"
 Т. 70  № 1";"contents.asp?id=67887686";"1";"2024";"26.06.2024";"Акустический журнал Российской академии наук"
"180";"
 Т. 70  № 2";"contents.asp?id=68549957";"2";"2024";"08.08.2024";"Акустический журнал Российской академии наук"
"181";"
 Т. 70  № 3";"contents.asp?id=73876097";"3";"2024";"28.10.2024";"Акустический журнал Российской академии наук"
"182";"
 Т. 70  № 4";"contents.asp?id=75118709";"4";"2024";"02.12.2024";"Акустический журнал Российской академии наук"
"183";"
 Т. 70  № 5";"contents.asp?id=75117412";"5";"2024";"02.12.2024";"Акустический журнал Российской академии наук"
"184";"
 Т. 70  № 6";"contents.asp?id=79079548";"6";"2024";"10.01.2025";"Акустический журнал Российской академии наук"
"185";"
 Т. 69  № 1";"contents.asp?id=50435856";"1";"2023";"31.03.2023";"Акустический журнал Российской академии наук"
"186";"
 Т. 69  № 2";"contents.asp?id=50435871";"2";"2023";"31.03.2023";"Акустический журнал Российской академии наук"
"187";"
 Т. 69  № 3";"contents.asp?id=53769977";"3";"2023";"24.05.2023";"Акустический журнал Российской академии наук"
"188";"
 Т. 69  № 4";"contents.asp?id=54238592";"4";"2023";"01.08.2023";"Акустический журнал Российской академии наук"
"189";"
 Т. 69  № 5";"contents.asp?id=54493917";"5";"2023";"20.09.2023";"Акустический журнал Российской академии наук"
"190";"
 Т. 69  № 6";"contents.asp?id=55850052";"6";"2023";"19.12.2023";"Акустический журнал Российской академии наук"
"191";"
 Т. 68  № 1";"contents.asp?id=47423742";"1";"2022";"29.12.2021";"Акустический журнал Российской академии наук"
"192";"
 Т. 68  № 2";"contents.asp?id=47958084";"2";"2022";"15.02.2022";"Акустический журнал Российской академии наук"
"193";"
 Т. 68  № 3";"contents.asp?id=48506082";"3";"2022";"26.05.2022";"Акустический журнал Российской академии наук"
"194";"
 Т. 68  № 4";"contents.asp?id=48659257";"4";"2022";"20.06.2022";"Акустический журнал Российской академии наук"
"195";"
 Т. 68  № 5";"contents.asp?id=49273401";"5";"2022";"10.08.2022";"Акустический журнал Российской академии наук"
"196";"
 Т. 68  № 6";"contents.asp?id=49546577";"6";"2022";"19.10.2022";"Акустический журнал Российской академии наук"
"197";"
 Т. 67  № 1";"contents.asp?id=44492549";"1";"2021";"12.01.2021";"Акустический журнал Российской академии наук"
"198";"
 Т. 67  № 2";"contents.asp?id=44811395";"2";"2021";"11.03.2021";"Акустический журнал Российской академии наук"
"199";"
 Т. 67  № 3";"contents.asp?id=45794959";"3";"2021";"31.05.2021";"Акустический журнал Российской академии наук"
"200";"
 Т. 67  № 4";"contents.asp?id=46322071";"4";"2021";"20.07.2021";"Акустический журнал Российской академии наук"
"201";"
 Т. 67  № 5";"contents.asp?id=46464495";"5";"2021";"30.08.2021";"Акустический журнал Российской академии наук"
"202";"
 Т. 67  № 6";"contents.asp?id=47210380";"6";"2021";"23.11.2021";"Акустический журнал Российской академии наук"
"203";"
 Т. 66  № 1";"contents.asp?id=41695340";"1";"2020";"16.01.2020";"Акустический журнал Российской академии наук"
"204";"
 Т. 66  № 2";"contents.asp?id=42366334";"2";"2020";"17.02.2020";"Акустический журнал Российской академии наук"
"205";"
 Т. 66  № 3";"contents.asp?id=42636160";"3";"2020";"07.04.2020";"Акустический журнал Российской академии наук"
"206";"
 Т. 66  № 4";"contents.asp?id=42898455";"4";"2020";"02.06.2020";"Акустический журнал Российской академии наук"
"207";"
 Т. 66  № 5";"contents.asp?id=43181870";"5";"2020";"31.07.2020";"Акустический журнал Российской академии наук"
"208";"
 Т. 66  № 6";"contents.asp?id=43947099";"6";"2020";"21.09.2020";"Акустический журнал Российской академии наук"
"209";"
 Т. 58  № 1";"contents.asp?id=68485964";"1";"2024";"25.07.2024";"""Астрономический вестник. Solar System research"""
"210";"
 Т. 58  № 2";"contents.asp?id=68610504";"2";"2024";"22.08.2024";"""Астрономический вестник. Solar System research"""
"211";"
 Т. 58  № 3";"contents.asp?id=69154477";"3";"2024";"11.09.2024";"""Астрономический вестник. Solar System research"""
"212";"
 Т. 58  № 4";"contents.asp?id=75083320";"4";"2024";"28.11.2024";"""Астрономический вестник. Solar System research"""
"213";"
 Т. 58  № 5";"contents.asp?id=75143842";"5";"2024";"05.12.2024";"""Астрономический вестник. Solar System research"""
"214";"
 Т. 57  № 1";"contents.asp?id=50435888";"1";"2023";"31.03.2023";"""Астрономический вестник. Solar System research"""
"215";"
 Т. 57  № 2";"contents.asp?id=50502116";"2";"2023";"13.04.2023";"""Астрономический вестник. Solar System research"""
"216";"
 Т. 57  № 3";"contents.asp?id=50502125";"3";"2023";"13.04.2023";"""Астрономический вестник. Solar System research"""
"217";"
 Т. 57  № 4";"contents.asp?id=53986158";"4";"2023";"20.06.2023";"""Астрономический вестник. Solar System research"""
"218";"
 Т. 57  № 5";"contents.asp?id=54403819";"5";"2023";"13.09.2023";"""Астрономический вестник. Solar System research"""
"219";"
 Т. 57  № 6";"contents.asp?id=54804050";"6";"2023";"14.11.2023";"""Астрономический вестник. Solar System research"""
"220";"
 Т. 56  № 1";"contents.asp?id=47696055";"1";"2022";"26.01.2022";"""Астрономический вестник. Solar System research"""
"221";"
 Т. 56  № 2";"contents.asp?id=47958098";"2";"2022";"15.02.2022";"""Астрономический вестник. Solar System research"""
"222";"
 Т. 56  № 3";"contents.asp?id=48340730";"3";"2022";"30.04.2022";"""Астрономический вестник. Solar System research"""
"223";"
 Т. 56  № 4";"contents.asp?id=48868010";"4";"2022";"08.07.2022";"""Астрономический вестник. Solar System research"""
"224";"
 Т. 56  № 5";"contents.asp?id=49344391";"5";"2022";"30.08.2022";"""Астрономический вестник. Solar System research"""
"225";"
 Т. 56  № 6";"contents.asp?id=49582660";"6";"2022";"26.10.2022";"""Астрономический вестник. Solar System research"""
"226";"
 Т. 55  № 1";"contents.asp?id=44573336";"1";"2021";"26.01.2021";"""Астрономический вестник. Solar System research"""
"227";"
 Т. 55  № 2";"contents.asp?id=44768887";"2";"2021";"02.03.2021";"""Астрономический вестник. Solar System research"""
"228";"
 Т. 55  № 3";"contents.asp?id=45796580";"3";"2021";"31.05.2021";"""Астрономический вестник. Solar System research"""
"229";"
 Т. 55  № 4";"contents.asp?id=46153386";"4";"2021";"17.06.2021";"""Астрономический вестник. Solar System research"""
"230";"
 Т. 55  № 5";"contents.asp?id=46506602";"5";"2021";"07.09.2021";"""Астрономический вестник. Solar System research"""
"231";"
 Т. 55  № 6";"contents.asp?id=47326640";"6";"2021";"14.12.2021";"""Астрономический вестник. Solar System research"""
"232";"
 Т. 54  № 1";"contents.asp?id=42258710";"1";"2020";"05.02.2020";"""Астрономический вестник. Solar System research"""
"233";"
 Т. 54  № 2";"contents.asp?id=42446042";"2";"2020";"03.03.2020";"""Астрономический вестник. Solar System research"""
"234";"
 Т. 54  № 3";"contents.asp?id=42890523";"3";"2020";"01.06.2020";"""Астрономический вестник. Solar System research"""
"235";"
 Т. 54  № 4";"contents.asp?id=43067275";"4";"2020";"07.07.2020";"""Астрономический вестник. Solar System research"""
"236";"
 Т. 54  № 5";"contents.asp?id=43878115";"5";"2020";"09.09.2020";"""Астрономический вестник. Solar System research"""
"237";"
 Т. 54  № 6";"contents.asp?id=44137461";"6";"2020";"02.11.2020";"""Астрономический вестник. Solar System research"""
"238";"
 Т. 101  № 1";"contents.asp?id=68507659";"1";"2024";"30.07.2024";"Астрономический журнал"
"239";"
 Т. 101  № 2";"contents.asp?id=69177332";"2";"2024";"15.09.2024";"Астрономический журнал"
"240";"
 Т. 101  № 3";"contents.asp?id=69187423";"3";"2024";"17.09.2024";"Астрономический журнал"
"241";"
 Т. 101  № 4";"contents.asp?id=69260117";"4";"2024";"24.09.2024";"Астрономический журнал"
"242";"
 Т. 101  № 5";"contents.asp?id=75083053";"5";"2024";"28.11.2024";"Астрономический журнал"
"243";"
 Т. 101  № 6";"contents.asp?id=75170345";"6";"2024";"10.12.2024";"Астрономический журнал"
"244";"
 Т. 101  № 7";"contents.asp?id=75177589";"7";"2024";"11.12.2024";"Астрономический журнал"
"245";"
 Т. 101  № 8";"contents.asp?id=75182094";"8";"2024";"12.12.2024";"Астрономический журнал"
"246";"
 Т. 101  № 9";"contents.asp?id=75994099";"9";"2024";"23.12.2024";"Астрономический журнал"
"247";"
 Т. 101  № 10";"contents.asp?id=75994151";"10";"2024";"23.12.2024";"Астрономический журнал"
"248";"
 Т. 101  № 11";"contents.asp?id=75993624";"11";"2024";"23.12.2024";"Астрономический журнал"
"249";"
 Т. 100  № 1";"contents.asp?id=50434305";"1";"2023";"30.03.2023";"Астрономический журнал"
"250";"
 Т. 100  № 2";"contents.asp?id=50434317";"2";"2023";"30.03.2023";"Астрономический журнал"
"251";"
 Т. 100  № 3";"contents.asp?id=50434335";"3";"2023";"30.03.2023";"Астрономический журнал"
"252";"
 Т. 100  № 4";"contents.asp?id=53738111";"4";"2023";"17.05.2023";"Астрономический журнал"
"253";"
 Т. 100  № 5";"contents.asp?id=53985783";"5";"2023";"20.06.2023";"Астрономический журнал"
"254";"
 Т. 100  № 6";"contents.asp?id=54348215";"6";"2023";"30.08.2023";"Астрономический журнал"
"255";"
 Т. 100  № 7";"contents.asp?id=54403161";"7";"2023";"13.09.2023";"Астрономический журнал"
"256";"
 Т. 100  № 8";"contents.asp?id=54523116";"8";"2023";"27.09.2023";"Астрономический журнал"
"257";"
 Т. 100  № 9";"contents.asp?id=54803621";"9";"2023";"14.11.2023";"Астрономический журнал"
"258";"
 Т. 100  № 10";"contents.asp?id=54803613";"10";"2023";"14.11.2023";"Астрономический журнал"
"259";"
 Т. 100  № 11";"contents.asp?id=54912494";"11";"2023";"29.11.2023";"Астрономический журнал"
"260";"
 Т. 100  № 12";"contents.asp?id=56698130";"12";"2023";"27.12.2023";"Астрономический журнал"
"261";"
 Т. 99  № 1";"contents.asp?id=47695558";"1";"2022";"26.01.2022";"Астрономический журнал"
