Source Title;Country;jif;year;Collection
ACCREDITATION AND QUALITY ASSURANCE;GERMANY;0,856;2021;SCIE
ACI MATERIALS JOURNAL;UNITED STATES OF AMERICA;1,7;2022;SCIE
ACI MATERIALS JOURNAL;UNITED STATES OF AMERICA;1,661;2021;SCIE
ACI STRUCTURAL JOURNAL;UNITED STATES OF AMERICA;1,8;2022;SCIE
ACI STRUCTURAL JOURNAL;UNITED STATES OF AMERICA;1,799;2021;SCIE
ACM COMPUTING SURVEYS;UNITED STATES OF AMERICA;16,6;2022;SCIE
ACM COMPUTING SURVEYS;UNITED STATES OF AMERICA;14,324;2021;SCIE
3D PRINTING IN MEDICINE;ENGLAND;3,7;2022;ESCI
3D PRINTING IN MEDICINE;ENGLAND;;2021;ESCI
ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE;UNITED STATES OF AMERICA;2,4;2022;AHCI
ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE;UNITED STATES OF AMERICA;2,4;2022;SCIE
ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE;UNITED STATES OF AMERICA;2,047;2021;AHCI
ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE;UNITED STATES OF AMERICA;2,047;2021;SCIE
ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS;UNITED STATES OF AMERICA;2,2;2022;SCIE
ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS;UNITED STATES OF AMERICA;2,013;2021;SCIE
ACM SIGCOMM COMPUTER COMMUNICATION REVIEW;UNITED STATES OF AMERICA;2,8;2022;SCIE
ACM SIGCOMM COMPUTER COMMUNICATION REVIEW;UNITED STATES OF AMERICA;1,937;2021;SCIE
ACM TRANSACTIONS ON ALGORITHMS;UNITED STATES OF AMERICA;1,3;2022;SCIE
ACM TRANSACTIONS ON ALGORITHMS;UNITED STATES OF AMERICA;1,113;2021;SCIE
3L-LANGUAGE LINGUISTICS LITERATURE-THE SOUTHEAST ASIAN JOURNAL OF ENGLISH LANGUAGE STUDIES;MALAYSIA;0,7;2022;ESCI
3L-LANGUAGE LINGUISTICS LITERATURE-THE SOUTHEAST ASIAN JOURNAL OF ENGLISH LANGUAGE STUDIES;MALAYSIA;;2021;ESCI
ACM TRANSACTIONS ON APPLIED PERCEPTION;UNITED STATES OF AMERICA;1,6;2022;SCIE
ACM TRANSACTIONS ON APPLIED PERCEPTION;UNITED STATES OF AMERICA;1,676;2021;SCIE
ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION;UNITED STATES OF AMERICA;1,6;2022;SCIE
ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION;UNITED STATES OF AMERICA;1,444;2021;SCIE
ACM TRANSACTIONS ON ASIAN AND LOW-RESOURCE LANGUAGE INFORMATION PROCESSING;UNITED STATES OF AMERICA;2;2022;SCIE
ACM TRANSACTIONS ON ASIAN AND LOW-RESOURCE LANGUAGE INFORMATION PROCESSING;UNITED STATES OF AMERICA;1,471;2021;SCIE
452 F-REVISTA DE TEORIA DE LA LITERATURA Y LITERATURA COMPARADA;SPAIN;0,01;2022;ESCI
452 F-REVISTA DE TEORIA DE LA LITERATURA Y LITERATURA COMPARADA;SPAIN;;2021;ESCI
ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS;UNITED STATES OF AMERICA;2,7;2022;SCIE
ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS;UNITED STATES OF AMERICA;1,913;2021;SCIE
ACM TRANSACTIONS ON COMPUTATIONAL LOGIC;UNITED STATES OF AMERICA;0,5;2022;SCIE
ACM TRANSACTIONS ON COMPUTATIONAL LOGIC;UNITED STATES OF AMERICA;0,898;2021;SCIE
ABACUS-A JOURNAL OF ACCOUNTING FINANCE AND BUSINESS STUDIES;AUSTRALIA;2,1;2022;SSCI
ABACUS-A JOURNAL OF ACCOUNTING FINANCE AND BUSINESS STUDIES;AUSTRALIA;2,06;2021;SSCI
ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION;UNITED STATES OF AMERICA;3,7;2022;SCIE
ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION;UNITED STATES OF AMERICA;4,106;2021;SCIE
ACM TRANSACTIONS ON COMPUTER SYSTEMS;UNITED STATES OF AMERICA;1,5;2022;SCIE
ACM TRANSACTIONS ON COMPUTER SYSTEMS;UNITED STATES OF AMERICA;1,692;2021;SCIE
ACM TRANSACTIONS ON COMPUTING EDUCATION;UNITED STATES OF AMERICA;2,4;2022;SCIE
ACM TRANSACTIONS ON COMPUTING EDUCATION;UNITED STATES OF AMERICA;2,493;2021;SCIE
ACM TRANSACTIONS ON DATABASE SYSTEMS;UNITED STATES OF AMERICA;1,8;2022;SCIE
ACM TRANSACTIONS ON DATABASE SYSTEMS;UNITED STATES OF AMERICA;1,629;2021;SCIE
A & A PRACTICE;UNITED STATES OF AMERICA;0,5;2022;ESCI
A & A PRACTICE;UNITED STATES OF AMERICA;;2021;ESCI
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS;UNITED STATES OF AMERICA;1,4;2022;SCIE
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS;UNITED STATES OF AMERICA;1,447;2021;SCIE
ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS;UNITED STATES OF AMERICA;2;2022;SCIE
ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS;UNITED STATES OF AMERICA;1,886;2021;SCIE
ACM TRANSACTIONS ON GRAPHICS;UNITED STATES OF AMERICA;6,2;2022;SCIE
ACM TRANSACTIONS ON GRAPHICS;UNITED STATES OF AMERICA;7,403;2021;SCIE
ACM TRANSACTIONS ON INFORMATION SYSTEMS;UNITED STATES OF AMERICA;5,6;2022;SCIE
ACM TRANSACTIONS ON INFORMATION SYSTEMS;UNITED STATES OF AMERICA;4,657;2021;SCIE
A&C-REVISTA DE DIREITO ADMINISTRATIVO & CONSTITUCIONAL;BRAZIL;0,2;2022;ESCI
A&C-REVISTA DE DIREITO ADMINISTRATIVO & CONSTITUCIONAL;BRAZIL;;2021;ESCI
ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY;UNITED STATES OF AMERICA;5;2022;SCIE
ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY;UNITED STATES OF AMERICA;10,489;2021;SCIE
ACM TRANSACTIONS ON INTERACTIVE INTELLIGENT SYSTEMS;UNITED STATES OF AMERICA;3,4;2022;SCIE
ACM TRANSACTIONS ON INTERACTIVE INTELLIGENT SYSTEMS;UNITED STATES OF AMERICA;1,887;2021;SCIE
ACM TRANSACTIONS ON INTERNET TECHNOLOGY;UNITED STATES OF AMERICA;5,3;2022;SCIE
ACM TRANSACTIONS ON INTERNET TECHNOLOGY;UNITED STATES OF AMERICA;3,989;2021;SCIE
ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA;UNITED STATES OF AMERICA;3,6;2022;SCIE
ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA;UNITED STATES OF AMERICA;4,157;2021;SCIE
ACADEMY OF MANAGEMENT ANNALS;UNITED STATES OF AMERICA;21,2;2022;SSCI
ACADEMY OF MANAGEMENT ANNALS;UNITED STATES OF AMERICA;19,241;2021;SSCI
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE;UNITED STATES OF AMERICA;2,7;2022;SCIE
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE;UNITED STATES OF AMERICA;2,464;2021;SCIE
ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION;UNITED STATES OF AMERICA;0,9;2022;SCIE
ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION;UNITED STATES OF AMERICA;0,851;2021;SCIE
AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK;GERMANY;0,1;2022;AHCI
AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK;GERMANY;;2021;AHCI
ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS;UNITED STATES OF AMERICA;5,1;2022;SCIE
ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS;UNITED STATES OF AMERICA;4,094;2021;SCIE
ACM TRANSACTIONS ON PRIVACY AND SECURITY;UNITED STATES OF AMERICA;2,3;2022;SCIE
ACM TRANSACTIONS ON PRIVACY AND SECURITY;UNITED STATES OF AMERICA;2,717;2021;SCIE
ACADEMY OF MANAGEMENT DISCOVERIES;UNITED STATES OF AMERICA;6,3;2022;SSCI
ACADEMY OF MANAGEMENT DISCOVERIES;UNITED STATES OF AMERICA;6,527;2021;SSCI
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS;UNITED STATES OF AMERICA;1,3;2022;SCIE
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS;UNITED STATES OF AMERICA;1,714;2021;SCIE
ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS;UNITED STATES OF AMERICA;2,3;2022;SCIE
ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS;UNITED STATES OF AMERICA;2,837;2021;SCIE
AACN ADVANCED CRITICAL CARE;UNITED STATES OF AMERICA;2,2;2022;ESCI
AACN ADVANCED CRITICAL CARE;UNITED STATES OF AMERICA;;2021;ESCI
ACM TRANSACTIONS ON SENSOR NETWORKS;UNITED STATES OF AMERICA;4,1;2022;SCIE
ACM TRANSACTIONS ON SENSOR NETWORKS;UNITED STATES OF AMERICA;2,56;2021;SCIE
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY;UNITED STATES OF AMERICA;4,4;2022;SCIE
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY;UNITED STATES OF AMERICA;3,685;2021;SCIE
ACADEMY OF MANAGEMENT LEARNING & EDUCATION;UNITED STATES OF AMERICA;4,8;2022;SSCI
ACADEMY OF MANAGEMENT LEARNING & EDUCATION;UNITED STATES OF AMERICA;6,149;2021;SSCI
ACM TRANSACTIONS ON STORAGE;UNITED STATES OF AMERICA;1,7;2022;SCIE
ACM TRANSACTIONS ON STORAGE;UNITED STATES OF AMERICA;1,229;2021;SCIE
ACM TRANSACTIONS ON THE WEB;UNITED STATES OF AMERICA;3,5;2022;SCIE
ACM TRANSACTIONS ON THE WEB;UNITED STATES OF AMERICA;3,35;2021;SCIE
ACADEMY OF MANAGEMENT JOURNAL;UNITED STATES OF AMERICA;10,5;2022;SSCI
ACADEMY OF MANAGEMENT JOURNAL;UNITED STATES OF AMERICA;10,979;2021;SSCI
ACOUSTICAL PHYSICS;RUSSIAN FEDERATION;0,8;2022;SCIE
ACOUSTICAL PHYSICS;RUSSIAN FEDERATION;1,116;2021;SCIE
ACOUSTICS AUSTRALIA;AUSTRALIA;1,7;2022;SCIE
ACOUSTICS AUSTRALIA;AUSTRALIA;1,891;2021;SCIE
ACADEMY OF MANAGEMENT PERSPECTIVES;UNITED STATES OF AMERICA;8,9;2022;SSCI
ACADEMY OF MANAGEMENT PERSPECTIVES;UNITED STATES OF AMERICA;8,069;2021;SSCI
ACS APPLIED ELECTRONIC MATERIALS;UNITED STATES OF AMERICA;4,7;2022;SCIE
ACS APPLIED ELECTRONIC MATERIALS;UNITED STATES OF AMERICA;4,494;2021;SCIE
ACS APPLIED ENERGY MATERIALS;UNITED STATES OF AMERICA;6,4;2022;SCIE
ACS APPLIED ENERGY MATERIALS;UNITED STATES OF AMERICA;6,959;2021;SCIE
ACADEMY OF MANAGEMENT REVIEW;UNITED STATES OF AMERICA;16,4;2022;SSCI
ACADEMY OF MANAGEMENT REVIEW;UNITED STATES OF AMERICA;13,865;2021;SSCI
ACS APPLIED MATERIALS & INTERFACES;UNITED STATES OF AMERICA;9,5;2022;SCIE
ACS APPLIED MATERIALS & INTERFACES;UNITED STATES OF AMERICA;10,383;2021;SCIE
ACS APPLIED NANO MATERIALS;UNITED STATES OF AMERICA;5,9;2022;SCIE
ACS APPLIED NANO MATERIALS;UNITED STATES OF AMERICA;6,14;2021;SCIE
ACS APPLIED POLYMER MATERIALS;UNITED STATES OF AMERICA;5;2022;SCIE
ACS APPLIED POLYMER MATERIALS;UNITED STATES OF AMERICA;4,855;2021;SCIE
ACS BIOMATERIALS SCIENCE & ENGINEERING;UNITED STATES OF AMERICA;5,8;2022;SCIE
ACS BIOMATERIALS SCIENCE & ENGINEERING;UNITED STATES OF AMERICA;5,395;2021;SCIE
ACS CATALYSIS;UNITED STATES OF AMERICA;12,9;2022;SCIE
ACS CATALYSIS;UNITED STATES OF AMERICA;13,7;2021;SCIE
ACS CENTRAL SCIENCE;UNITED STATES OF AMERICA;18,2;2022;SCIE
ACS CENTRAL SCIENCE;UNITED STATES OF AMERICA;18,728;2021;SCIE
AB IMPERIO-STUDIES OF NEW IMPERIAL HISTORY AND NATIONALISM IN THE POST-SOVIET SPACE;UNITED STATES OF AMERICA;0,4;2022;AHCI
AB IMPERIO-STUDIES OF NEW IMPERIAL HISTORY AND NATIONALISM IN THE POST-SOVIET SPACE;UNITED STATES OF AMERICA;;2021;AHCI
ACS CHEMICAL BIOLOGY;UNITED STATES OF AMERICA;4;2022;SCIE
ACS CHEMICAL BIOLOGY;UNITED STATES OF AMERICA;4,634;2021;SCIE
ACS CHEMICAL NEUROSCIENCE;UNITED STATES OF AMERICA;5;2022;SCIE
ACS CHEMICAL NEUROSCIENCE;UNITED STATES OF AMERICA;5,78;2021;SCIE
ACADEMIC PSYCHIATRY;UNITED STATES OF AMERICA;2,5;2022;SSCI
ACADEMIC PSYCHIATRY;UNITED STATES OF AMERICA;2,385;2021;SSCI
ACS EARTH AND SPACE CHEMISTRY;UNITED STATES OF AMERICA;3,4;2022;SCIE
ACS EARTH AND SPACE CHEMISTRY;UNITED STATES OF AMERICA;3,556;2021;SCIE
ACS ENERGY LETTERS;UNITED STATES OF AMERICA;22;2022;SCIE
ACS ENERGY LETTERS;UNITED STATES OF AMERICA;23,991;2021;SCIE
ACS INFECTIOUS DISEASES;UNITED STATES OF AMERICA;5,3;2022;SCIE
ACS INFECTIOUS DISEASES;UNITED STATES OF AMERICA;5,578;2021;SCIE
ACS MACRO LETTERS;UNITED STATES OF AMERICA;5,8;2022;SCIE
ACS MACRO LETTERS;UNITED STATES OF AMERICA;7,015;2021;SCIE
ABAKOS;BRAZIL;0,01;2022;ESCI
ABAKOS;BRAZIL;;2021;ESCI
ACS MATERIALS LETTERS;UNITED STATES OF AMERICA;11,4;2022;SCIE
ACS MATERIALS LETTERS;UNITED STATES OF AMERICA;11,17;2021;SCIE
ACS MEDICINAL CHEMISTRY LETTERS;UNITED STATES OF AMERICA;4,2;2022;SCIE
ACS MEDICINAL CHEMISTRY LETTERS;UNITED STATES OF AMERICA;4,632;2021;SCIE
ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION;COLOMBIA;1,2;2022;SSCI
ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION;COLOMBIA;1,369;2021;SSCI
ACSMS HEALTH & FITNESS JOURNAL;UNITED STATES OF AMERICA;1,5;2022;SCIE
ACSMS HEALTH & FITNESS JOURNAL;UNITED STATES OF AMERICA;1,13;2021;SCIE
ACS NANO;UNITED STATES OF AMERICA;17,1;2022;SCIE
ACS NANO;UNITED STATES OF AMERICA;18,027;2021;SCIE
ABANICO VETERINARIO;MEXICO;0,4;2022;ESCI
ABANICO VETERINARIO;MEXICO;;2021;ESCI
ACS OMEGA;UNITED STATES OF AMERICA;4,1;2022;SCIE
ACS OMEGA;UNITED STATES OF AMERICA;4,132;2021;SCIE
ACS PHOTONICS;UNITED STATES OF AMERICA;7;2022;SCIE
ACS PHOTONICS;UNITED STATES OF AMERICA;7,077;2021;SCIE
ACS SENSORS;UNITED STATES OF AMERICA;8,9;2022;SCIE
ACS SENSORS;UNITED STATES OF AMERICA;9,618;2021;SCIE
ACS SUSTAINABLE CHEMISTRY & ENGINEERING;UNITED STATES OF AMERICA;8,4;2022;SCIE
ACS SUSTAINABLE CHEMISTRY & ENGINEERING;UNITED STATES OF AMERICA;9,224;2021;SCIE
ABCD-ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA-BRAZILIAN ARCHIVES OF DIGESTIVE SURGERY;BRAZIL;1,5;2022;ESCI
ABCD-ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA-BRAZILIAN ARCHIVES OF DIGESTIVE SURGERY;BRAZIL;;2021;ESCI
ACS SYNTHETIC BIOLOGY;UNITED STATES OF AMERICA;4,7;2022;SCIE
ACS SYNTHETIC BIOLOGY;UNITED STATES OF AMERICA;5,249;2021;SCIE
ACTA ACUSTICA;FRANCE;1,4;2022;SCIE
ACTA ACUSTICA;FRANCE;1,355;2021;SCIE
ACCIDENT ANALYSIS AND PREVENTION;ENGLAND;5,9;2022;SSCI
ACCIDENT ANALYSIS AND PREVENTION;ENGLAND;6,376;2021;SSCI
ACTA ADRIATICA;CROATIA;0,9;2022;SCIE
ACTA ADRIATICA;CROATIA;0,682;2021;SCIE
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE;NORWAY;0,9;2022;SCIE
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE;NORWAY;0,794;2021;SCIE
ACCOUNTING AUDITING & ACCOUNTABILITY JOURNAL;ENGLAND;4,2;2022;SSCI
ACCOUNTING AUDITING & ACCOUNTABILITY JOURNAL;ENGLAND;4,893;2021;SSCI
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE;NORWAY;1,6;2022;SCIE
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE;NORWAY;1,931;2021;SCIE
ACTA ALIMENTARIA;HUNGARY;1,1;2022;SCIE
ACTA ALIMENTARIA;HUNGARY;1;2021;SCIE
ABE JOURNAL;FRANCE;0,2;2022;ESCI
ABE JOURNAL;FRANCE;;2021;ESCI
ACTA AMAZONICA;BRAZIL;0,8;2022;SCIE
ACTA AMAZONICA;BRAZIL;1,091;2021;SCIE
ACTA ANAESTHESIOLOGICA SCANDINAVICA;DENMARK;2,1;2022;SCIE
ACTA ANAESTHESIOLOGICA SCANDINAVICA;DENMARK;2,274;2021;SCIE
ACCOUNTING AND BUSINESS RESEARCH;ENGLAND;1,7;2022;SSCI
ACCOUNTING AND BUSINESS RESEARCH;ENGLAND;2,326;2021;SSCI
ACTA APPLICANDAE MATHEMATICAE;NETHERLANDS;1,6;2022;SCIE
ACTA APPLICANDAE MATHEMATICAE;NETHERLANDS;1,563;2021;SCIE
ACTA ARITHMETICA;POLAND;0,7;2022;SCIE
ACTA ARITHMETICA;POLAND;0,59;2021;SCIE
ACCOUNTING AND FINANCE;AUSTRALIA;2,6;2022;SSCI
ACCOUNTING AND FINANCE;AUSTRALIA;2,473;2021;SSCI
ACTA ASTRONAUTICA;UNITED STATES OF AMERICA;3,5;2022;SCIE
ACTA ASTRONAUTICA;UNITED STATES OF AMERICA;2,954;2021;SCIE
ACTA ASTRONOMICA;POLAND;2,2;2022;SCIE
ACTA ASTRONOMICA;POLAND;1,974;2021;SCIE
ABORIGINAL HISTORY;AUSTRALIA;0,1;2022;ESCI
ABORIGINAL HISTORY;AUSTRALIA;;2021;ESCI
ACTA BIOCHIMICA ET BIOPHYSICA SINICA;CHINA MAINLAND;3,7;2022;SCIE
ACTA BIOCHIMICA ET BIOPHYSICA SINICA;CHINA MAINLAND;3,511;2021;SCIE
ACTA BIOCHIMICA POLONICA;POLAND;1,7;2022;SCIE
ACTA BIOCHIMICA POLONICA;POLAND;2,349;2021;SCIE
ACCOUNTING FORUM;ENGLAND;3,1;2022;SSCI
ACCOUNTING FORUM;ENGLAND;4;2021;SSCI
ACTA BIOETHICA;CHILE;0,4;2022;SCIE
ACTA BIOETHICA;CHILE;0,4;2022;SSCI
ACTA BIOETHICA;CHILE;0,4;2022;SCIE
ACTA BIOETHICA;CHILE;0,4;2022;SSCI
ACTA BIOETHICA;CHILE;0,49;2021;SCIE
ACTA BIOETHICA;CHILE;0,49;2021;SSCI
ACTA BIOETHICA;CHILE;0,49;2021;SCIE
ACTA BIOETHICA;CHILE;0,49;2021;SSCI
ACTA BIOLOGICA COLOMBIANA;COLOMBIA;0,6;2022;SCIE
ACTA BIOLOGICA COLOMBIANA;COLOMBIA;0,676;2021;SCIE
ABORIGINAL POLICY STUDIES;CANADA;0,5;2022;ESCI
ABORIGINAL POLICY STUDIES;CANADA;;2021;ESCI
ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA;POLAND;1,3;2022;SCIE
ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA;POLAND;1,103;2021;SCIE
ACTA BIOMATERIALIA;ENGLAND;9,7;2022;SCIE
ACTA BIOMATERIALIA;ENGLAND;10,633;2021;SCIE
ACCOUNTING HORIZONS;UNITED STATES OF AMERICA;2,5;2022;SSCI
ACCOUNTING HORIZONS;UNITED STATES OF AMERICA;2,157;2021;SSCI
ACTA BIOQUIMICA CLINICA LATINOAMERICANA;ARGENTINA;0,1;2022;SCIE
ACTA BIOQUIMICA CLINICA LATINOAMERICANA;ARGENTINA;0,043;2021;SCIE
ACTA BIOTHEORETICA;NETHERLANDS;1,3;2022;SCIE
ACTA BIOTHEORETICA;NETHERLANDS;1,185;2021;SCIE
ABRIU-ESTUDOS DE TEXTUALIDADE DO BRASIL GALICIA E PORTUGAL;SPAIN;0,1;2022;ESCI
ABRIU-ESTUDOS DE TEXTUALIDADE DO BRASIL GALICIA E PORTUGAL;SPAIN;;2021;ESCI
ACTA BOTANICA BRASILICA;BRAZIL;1,1;2022;SCIE
ACTA BOTANICA BRASILICA;BRAZIL;1,395;2021;SCIE
ACTA BOTANICA CROATICA;CROATIA;1,3;2022;SCIE
ACTA BOTANICA CROATICA;CROATIA;1,02;2021;SCIE
ACCOUNTING ORGANIZATIONS AND SOCIETY;ENGLAND;4,7;2022;SSCI
ACCOUNTING ORGANIZATIONS AND SOCIETY;ENGLAND;4,114;2021;SSCI
ACTA BOTANICA MEXICANA;MEXICO;0,8;2022;SCIE
ACTA BOTANICA MEXICANA;MEXICO;0,815;2021;SCIE
ACTA CARDIOLOGICA;BELGIUM;1,6;2022;SCIE
ACTA CARDIOLOGICA;BELGIUM;1,738;2021;SCIE
ACTA CARDIOLOGICA SINICA;TAIWAN;1,9;2022;SCIE
ACTA CARDIOLOGICA SINICA;TAIWAN;1,8;2021;SCIE
ACTA CARSOLOGICA;SLOVENIA;0,7;2022;SCIE
ACTA CARSOLOGICA;SLOVENIA;0,921;2021;SCIE
ACADEMIC JOURNAL OF MODERN PHILOLOGY;POLAND;0,01;2022;ESCI
ACADEMIC JOURNAL OF MODERN PHILOLOGY;POLAND;;2021;ESCI
ACTA CHIMICA SINICA;CHINA MAINLAND;2,5;2022;SCIE
ACTA CHIMICA SINICA;CHINA MAINLAND;2,789;2021;SCIE
ACTA CHIMICA SLOVENICA;SLOVENIA;1,2;2022;SCIE
ACTA CHIMICA SLOVENICA;SLOVENIA;1,524;2021;SCIE
ACCOUNTING REVIEW;UNITED STATES OF AMERICA;4,1;2022;SSCI
ACCOUNTING REVIEW;UNITED STATES OF AMERICA;5,182;2021;SSCI
ACTA CHIROPTEROLOGICA;POLAND;1;2022;SCIE
ACTA CHIROPTEROLOGICA;POLAND;1,145;2021;SCIE
ACTA CHIRURGIAE ORTHOPAEDICAE ET TRAUMATOLOGIAE CECHOSLOVACA;CZECH REPUBLIC;0,4;2022;SCIE
ACTA CHIRURGIAE ORTHOPAEDICAE ET TRAUMATOLOGIAE CECHOSLOVACA;CZECH REPUBLIC;0,222;2021;SCIE
ACTA CHIRURGICA BELGICA;ENGLAND;0,8;2022;SCIE
